timeOpen,close,marketCap
2020-09-14,0.4475972,1577805.162
2020-09-13,0.430966651,1519028.403
2020-09-12,0.448675428,1581291.828
2020-09-11,0.468805567,1652069.579
2020-09-10,0.4570253,1610394.418
2020-09-09,0.416765036,1468385.901
2020-09-08,0.413296069,1456016.63
2020-09-07,0.433162981,1525850.616
2020-09-06,0.430957985,1517927.438
2020-09-05,0.405435818,1427887.517
2020-09-04,0.450622575,1586865.511
2020-09-03,0.407944637,1436429.772
2020-09-02,0.457348422,1610219.647
2020-09-01,0.485621747,1709587.157
2020-08-31,0.487082221,1714548.801
2020-08-30,0.585422114,2060493.991
2020-08-29,0.494414885,1739996.933
2020-08-28,0.466930248,1643095.702
2020-08-27,0.447900679,1575968.604
2020-08-26,0.48231591,1696881.286
2020-08-25,0.487720699,1715713.574
2020-08-24,0.490840003,1726502.72
2020-08-23,0.486226274,1710092.19
2020-08-22,0.488043505,1716299.667
2020-08-21,0.444766992,1563939.972
2020-08-20,0.474953592,1669905.414
2020-08-19,0.4814055,1692406.184
2020-08-18,0.466861385,1641097.418
2020-08-17,0.457508467,1608045.154
2020-08-16,0.449027367,1578063.426
2020-08-15,0.462849738,1626463.619
2020-08-14,0.470124009,1651842.998
2020-08-13,0.463561501,1628604.722
2020-08-12,0.450719875,1583313.074
2020-08-11,0.453008026,1591173.124
2020-08-10,0.484967894,1703242.906
2020-08-09,0.479493856,1683827.301
2020-08-08,0.471568119,1655808.631
2020-08-07,0.472601818,1659251.805
2020-08-06,0.475949274,1670816.33
2020-08-05,0.493235039,1731301.162
2020-08-04,0.471966205,1656455.238
2020-08-03,0.465190915,1632492.065
2020-08-02,0.479885558,1683866.733
2020-08-01,0.469599233,1647582.918
2020-07-31,0.428382477,1502801.798
2020-07-30,0.444883,1560505.158
2020-07-29,0.406155035,1424495.064
2020-07-28,0.420659996,1475196.496
2020-07-27,0.411507546,1442930.632
2020-07-26,0.363432087,1274207.97
2020-07-25,0.354999053,1244494.564
2020-07-24,0.339692212,1190693.077
2020-07-23,0.335382598,1175448.054
2020-07-22,0.34824715,1220390.342
2020-07-21,0.346523628,1214205.394
2020-07-20,0.298348833,1045278.692
2020-07-19,0.317675539,1112856.906
2020-07-18,0.283366654,992549.8838
2020-07-17,0.331144705,1159760.71
2020-07-16,0.262197607,918179.9137
2020-07-15,0.247165254,865433.208
2020-07-14,0.256906121,899430.6267
2020-07-13,0.254267497,890082.6066
2020-07-12,0.198429956,694534.602
2020-07-11,0.226664209,793262.4213
2020-07-10,0.224440586,785383.493
2020-07-09,0.248794382,870497.5851
2020-07-08,0.225048391,787315.6149
2020-07-07,0.229220965,801814.4082
2020-07-06,0.237950221,832245.631
2020-07-05,0.242668208,848638.6616
2020-07-04,0.255495261,893384.9005
2020-07-03,0.258242989,902878.963
2020-07-02,0.316176995,1105289.354
2020-07-01,0.322905589,1128667.265
2020-06-30,0.314511596,1099190.209
2020-06-29,0.318438469,1112775.513
2020-06-28,0.322780674,1127804.074
2020-06-27,0.322779637,1127657.644
2020-06-26,0.340334854,1188835.365
2020-06-25,0.349967855,1222326.03
2020-06-24,0.355478827,1241414.754
2020-06-23,0.352090877,1229424.729
